,word,freq
0,là,279166
1,không,189436
2,có,189187
3,một,166787
4,của,143873
5,cái,126110
6,người,118398
7,thì,116402
8,và,109849
9,mà,92029
10,được,90486
11,như,90299
12,này,90062
13,trong,85913
14,cũng,85425
15,cho,85135
16,hai,82068
17,ta,80285
18,ra,79652
19,các,78315
20,đã,74595
21,với,73631
22,lại,72542
23,đó,69054
24,thể,64625
25,mình,63512
26,em,63342
27,những,62355
28,để,58938
29,phải,58870
30,đến,57845
31,nói,57702
32,ở,54965
33,đi,53769
34,làm,53150
35,nhưng,50033
36,sẽ,49327
37,chúng,48972
38,nó,48041
39,vào,46125
40,về,45710
41,thế,45384
42,,44108
43,hắn,43782
44,rồi,43664
45,công,43613
46,còn,43450
47,rất,43433
48,chỉ,43177
49,năm,43150
50,đầu,40897
51,anh,40503
52,ba,39834
53,vậy,39174
54,con,38740
55,tôi,38534
56,từ,38431
57,khi,38219
58,thành,36977
59,đây,36766
60,thấy,36569
61,gì,36473
62,lên,36164
63,nào,36086
64,nhiều,35762
65,trên,35312
66,bị,34446
67,hiện,33275
68,sau,33131
69,nhân,32020
70,tại,30944
71,cả,30670
72,nhất,30253
73,sao,29935
74,mới,29804
75,biết,29665
76,hơn,28994
77,mươi,28694
78,sự,28666
79,vì,28045
80,bạn,27956
81,động,27490
82,chính,27297
83,cùng,27191
84,mười,27170
85,ngày,26488
86,đối,26485
87,giờ,26419
88,tới,26361
89,theo,26092
90,trước,25815
91,nên,25446
92,việc,25281
93,lực,25106
94,đang,25082
95,trăm,24750
96,nhìn,24426
97,lúc,24397
98,số,24336
99,muốn,24255
100,gia,24250
101,ngươi,24218
102,mặt,24170
103,thời,24162
104,đại,24012
105,qua,24010
106,định,23932
107,vị,23912
108,học,23904
109,tay,23840
110,đồng,23753
111,họ,23581
112,bộ,23165
113,lăng,23087
114,cô,23081
115,quan,23025
116,hàn,22748
117,nữa,22450
118,nếu,21970
119,thực,21643
120,ý,21512
121,nam,21435
122,thứ,21367
123,nhiên,20967
124,nay,20811
125,sinh,20782
126,đường,20767
127,nhà,20615
128,thiên,20609
129,điều,20424
130,hình,20381
131,phần,20291
132,vừa,20189
133,hay,19850
134,cảm,19677
135,cao,19646
136,thân,19553
137,nước,19360
138,vũ,19330
139,vẫn,19304
140,tiếp,18812
141,lớn,18796
142,lão,18746
143,mắt,18557
144,cơ,18477
145,phương,18406
146,cách,18377
147,bằng,18353
148,phát,18262
149,a,18097
150,đều,17962
151,tử,17693
152,hồn,17680
153,khác,17349
154,toàn,17320
155,chưa,17310
156,bốn,17286
157,trường,17196
158,quá,17113
159,vô,17111
160,bên,16856
161,nghĩ,16853
162,lần,16526
163,tự,16468
164,tâm,16451
165,câu,16358
166,trình,16314
167,bảo,16309
168,kinh,16306
169,thủ,16242
170,à,16204
171,tình,16077
172,tiếng,16035
173,chuyện,15960
174,đạo,15937
175,hợp,15923
176,nhận,15895
177,thôi,15831
178,cần,15823
179,điểm,15744
180,bình,15725
181,xuất,15719
182,khí,15700
183,thông,15678
184,ông,15618
185,bản,15599
186,dân,15591
187,trung,15557
188,linh,15404
189,tư,15390
190,chín,15199
191,ai,15029
192,chủ,15009
193,lượng,14973
194,hàng,14913
195,thanh,14891
196,lý,14738
197,thần,14698
198,tiên,14658
199,đánh,14625
200,đúng,14368
201,gian,14367
202,nhau,14220
203,rằng,14202
204,việt,14098
205,đề,14067
206,độ,14062
207,năng,14033
208,tin,14012
209,cảnh,13994
210,hết,13929
211,thật,13915
212,hành,13873
213,dụng,13846
214,hỏi,13720
215,trở,13719
216,chiến,13632
217,chàng,13580
218,hội,13547
219,ngoài,13487
220,nàng,13263
221,mọi,13262
222,bọn,13222
223,đấu,13218
224,viên,13207
225,y,13179
226,tức,13128
227,thường,13128
228,nghe,13023
229,thiếu,12975
230,xuống,12970
231,bây,12918
232,chị,12908
233,hoàn,12778
234,trọng,12760
235,sáu,12723
236,bao,12711
237,quốc,12656
238,lấy,12636
239,nghiệp,12633
240,thương,12619
241,mạnh,12588
242,phong,12584
243,an,12584
244,ăn,12575
245,đấy,12505
246,đâu,12422
247,ấy,12412
248,minh,12377
249,sư,12285
250,do,12197
251,nguyên,12182
252,cấp,12162
253,vương,12074
254,pháp,12024
255,lời,12001
256,kết,11919
257,yêu,11913
258,tính,11912
259,giá,11904
260,tiền,11864
261,tiểu,11841
262,kia,11769
263,môn,11726
264,bất,11723
265,sáng,11679
266,sống,11643
267,sản,11572
268,quả,11550
269,hôm,11526
270,luôn,11524
271,chí,11490
272,tìm,11398
273,đội,11370
274,liền,11342
275,tám,11334
276,thu,11326
277,nữ,11306
278,phòng,11303
279,khó,11270
280,bắt,11247
281,giải,11245
282,quý,11231
283,ngay,11221
284,chút,11204
285,kỳ,11183
286,kiếm,11156
287,bài,11110
288,thức,11093
289,tốt,11052
290,hồ,11052
291,phía,11022
292,bởi,10954
293,mấy,10940
294,xem,10933
295,tháng,10932
296,giới,10911
297,liên,10903
298,tên,10869
299,vụ,10826
300,địa,10817
301,nội,10785
302,tiêu,10747
303,cười,10737
304,du,10728
305,tác,10671
306,giả,10613
307,càng,10593
308,bảy,10545
309,tất,10530
310,thi,10523
311,hoàng,10480
312,chân,10464
313,tinh,10444
314,văn,10417
315,sử,10347
