*	* |
là	LI AN2_4 |
không	KHI ÔN_0 NGC_0 |
có	KI ON2_5 |
một	MI ÔN_1 TC_1 |
của	KI UÔN_2 |
cái	KI AN2_5 IC_5 |
người	NGI ƯƠN_4 IC_4 |
thì	THI IN_4 |
và	VI AN2_4 |
mà	MI AN2_4 |
được	DI ƯƠN_1 KC_1 |
như	NHI ƯC_0 |
này	NI AN3_4 YC_4 |
trong	TRI ON1_0 NGC_0 |
cũng	KI UN_3 NGC_3 |
cho	CHI ON2_0 |
hai	HI AN2_0 IC_0 |
ta	TI AN2_0 |
ra	RI AN2_0 |
các	KI AN1_5 KC_5 |
đã	DI AN2_3 |
với	VI ƠN_5 IC_5 |
lại	LI AN2_1 IC_1 |
đó	DI ON2_5 |
thể	THI ÊN_2 |
mình	MI IN_4 NGC_4 |
em	EN_0 MC_0 |
những	NHI ƯN_3 NGC_3 |
để	DI ÊN_2 |
phải	PHI AN2_2 IC_2 |
đến	DI ÊN_5 NC_5 |
nói	NI ON2_5 IC_5 |
ở	ƠC_2 |
đi	DI IN_0 |
làm	LI AN2_4 MC_4 |
nhưng	NHI ƯN_0 NGC_0 |
sẽ	SI EN_3 |
chúng	CHI UN_5 NGC_5 |
nó	NI ON2_5 |
vào	VI AN2_4 UC_4 |
về	VI ÊN_4 |
thế	THI ÊN_5 |
	NIAN2_0 NC_0 |
hắn	HI AN3_5 NC_5 |
rồi	RI ÔN_4 IC_4 |
công	KI ÔN_0 NGC_0 |
còn	KI ON2_4 NC_4 |
rất	RI ÂN_5 TC_5 |
chỉ	CHI IN_2 |
năm	NI AN3_0 MC_0 |
đầu	DI ÂN_4 UC_4 |
anh	AN1_0 NGC_0 |
ba	BI AN2_0 |
vậy	VI ÂN_1 YC_1 |
con	KI ON2_0 NC_0 |
tôi	TI ÔN_0 IC_0 |
từ	TI ƯC_4 |
khi	KHI IN_0 |
thành	THI AN1_4 NGC_4 |
đây	DI ÂN_0 YC_0 |
thấy	THI ÂN_5 YC_5 |
gì	ZI |
lên	LI ÊN_0 NC_0 |
nào	NI AN2_4 UC_4 |
nhiều	NHI IÊN_4 UC_4 |
trên	TRI ÊN_0 NC_0 |
bị	BI IN_1 |
hiện	HI IÊN_1 NC_1 |
sau	SI AN3_0 UC_0 |
nhân	NHI ÂN_0 NC_0 |
tại	TI AN2_1 IC_1 |
cả	KI AN2_2 |
nhất	NHI ÂN_5 TC_5 |
sao	SI AN2_0 UC_0 |
mới	MI ƠN_5 IC_5 |
biết	BI IÊN_5 TC_5 |
hơn	HI ƠN_0 NC_0 |
mươi	MI ƯƠN_0 IC_0 |
sự	SI ƯC_1 |
vì	VI IN_4 |
bạn	BI AN2_1 NC_1 |
động	DI ÔN_1 NGC_1 |
chính	CHI IN_5 NGC_5 |
cùng	KI UN_4 NGC_4 |
mười	MI ƯƠN_4 IC_4 |
ngày	NGI AN3_4 YC_4 |
đối	DI ÔN_5 IC_5 |
giờ	ZI ƠC_4 |
tới	TI ƠN_5 IC_5 |
theo	THI EN_0 UC_0 |
trước	TRI ƯƠN_5 KC_5 |
nên	NI ÊN_0 NC_0 |
việc	VI IÊN_1 KC_1 |
lực	LI ƯN_1 KC_1 |
đang	DI AN1_0 NGC_0 |
trăm	TRI AN3_0 MC_0 |
nhìn	NHI IN_4 NC_4 |
lúc	LI UN_5 KC_5 |
số	SI ÔN_5 |
muốn	MI UÔN_5 NC_5 |
gia	ZI AN2_0 |
ngươi	NGI ƯƠN_0 IC_0 |
mặt	MI AN3_1 TC_1 |
thời	THI ƠN_4 IC_4 |
đại	DI AN2_1 IC_1 |
qua	KI UÔN_0 |
định	DI IN_1 NGC_1 |
vị	VI IN_1 |
học	HI ON1_1 KC_1 |
tay	TI AN3_0 YC_0 |
đồng	DI ÔN_4 NGC_4 |
họ	HI ON2_1 |
bộ	BI ÔN_1 |
lăng	LI AN3_0 NGC_0 |
cô	KI ÔN_0 |
quan	KI UÔN_0 NC_0 |
hàn	HI AN2_4 NC_4 |
nữa	NI ƯƠN_3 |
nếu	NI ÊN_5 UC_5 |
thực	THI ƯN_1 KC_1 |
ý	IN_5 |
nam	NI AN2_0 MC_0 |
thứ	THI ƯC_5 |
nhiên	NHI IÊN_0 NC_0 |
nay	NI AN3_0 YC_0 |
sinh	SI IN_0 NGC_0 |
đường	DI ƯƠN_4 NGC_4 |
nhà	NHI AN2_4 |
thiên	THI IÊN_0 NC_0 |
điều	DI IÊN_4 UC_4 |
hình	HI IN_4 NGC_4 |
phần	PHI ÂN_4 NC_4 |
vừa	VI ƯƠN_4 |
hay	HI AN3_0 YC_0 |
cảm	KI AN2_2 MC_2 |
cao	KI AN2_0 UC_0 |
thân	THI ÂN_0 NC_0 |
nước	NI ƯƠN_5 KC_5 |
vũ	VI UN_3 |
vẫn	VI ÂN_3 NC_3 |
tiếp	TI IÊN_5 PC_5 |
lớn	LI ƠN_5 NC_5 |
lão	LI AN2_3 UC_3 |
mắt	MI AN3_5 TC_5 |
cơ	KI ƠC_0 |
phương	PHI ƯƠN_0 NGC_0 |
cách	KI AN1_5 KC_5 |
bằng	BI AN3_4 NGC_4 |
phát	PHI AN2_5 TC_5 |
a	AN2_0 |
đều	DI ÊN_4 UC_4 |
tử	TI ƯC_2 |
hồn	HI ÔN_4 NC_4 |
khác	KHI AN1_5 KC_5 |
toàn	TI WO_4 AN2_4 NC_4 |
chưa	CHI ƯƠN_0 |
bốn	BI ÔN_5 NC_5 |
trường	TRI ƯƠN_4 NGC_4 |
quá	KI UÔN_5 |
vô	VI ÔN_0 |
bên	BI ÊN_0 NC_0 |
nghĩ	NGI IN_3 |
lần	LI ÂN_4 NC_4 |
tự	TI ƯC_1 |
tâm	TI ÂN_0 MC_0 |
câu	KI ÂN_0 UC_0 |
trình	TRI IN_4 NGC_4 |
bảo	BI AN2_2 UC_2 |
kinh	KI IN_0 NGC_0 |
thủ	THI UN_2 |
à	AN2_4 |
tình	TI IN_4 NGC_4 |
tiếng	TI IÊN_5 NGC_5 |
chuyện	CHI WO_1 YÊN_1 NC_1 |
đạo	DI AN2_1 UC_1 |
hợp	HI ƠN_1 PC_1 |
nhận	NHI ÂN_1 NC_1 |
thôi	THI ÔN_0 IC_0 |
cần	KI ÂN_4 NC_4 |
điểm	DI IÊN_2 MC_2 |
bình	BI IN_4 NGC_4 |
xuất	XI WO_5 ÂN_5 TC_5 |
khí	KHI IN_5 |
thông	THI ÔN_0 NGC_0 |
ông	ÔN_0 NGC_0 |
bản	BI AN2_2 NC_2 |
dân	ZI ÂN_0 NC_0 |
trung	TRI UN_0 NGC_0 |
linh	LI IN_0 NGC_0 |
tư	TI ƯC_0 |
chín	CHI IN_5 NC_5 |
ai	AN2_0 IC_0 |
chủ	CHI UN_2 |
lượng	LI ƯƠN_1 NGC_1 |
hàng	HI AN1_4 NGC_4 |
thanh	THI AN1_0 NGC_0 |
lý	LI IN_5 |
thần	THI ÂN_4 NC_4 |
tiên	TI IÊN_0 NC_0 |
đánh	DI AN1_5 NGC_5 |
đúng	DI UN_5 NGC_5 |
gian	ZI AN2_0 NC_0 |
nhau	NHI AN3_0 UC_0 |
rằng	RI AN3_4 NGC_4 |
việt	VI IÊN_1 TC_1 |
đề	DI ÊN_4 |
độ	DI ÔN_1 |
năng	NI AN3_0 NGC_0 |
tin	TI IN_0 NC_0 |
cảnh	KI AN1_2 NGC_2 |
hết	HI ÊN_5 TC_5 |
thật	THI ÂN_1 TC_1 |
hành	HI AN1_4 NGC_4 |
dụng	ZI UN_1 NGC_1 |
hỏi	HI ON2_2 IC_2 |
trở	TRI ƠC_2 |
chiến	CHI IÊN_5 NC_5 |
chàng	CHI AN1_4 NGC_4 |
hội	HI ÔN_1 IC_1 |
ngoài	NGI WO_4 AN2_4 IC_4 |
nàng	NI AN1_4 NGC_4 |
mọi	MI ON2_1 IC_1 |
bọn	BI ON2_1 NC_1 |
đấu	DI ÂN_5 UC_5 |
viên	VI IÊN_0 NC_0 |
y	IN_0 |
tức	TI ƯN_5 KC_5 |
thường	THI ƯƠN_4 NGC_4 |
nghe	NGI EN_0 |
thiếu	THI IÊN_5 UC_5 |
xuống	XI UÔN_5 NGC_5 |
bây	BI ÂN_0 YC_0 |
chị	CHI IN_1 |
hoàn	HI WO_4 AN2_4 NC_4 |
trọng	TRI ON1_1 NGC_1 |
sáu	SI AN3_5 UC_5 |
bao	BI AN2_0 UC_0 |
quốc	KI UÔN_5 KC_5 |
lấy	LI ÂN_5 YC_5 |
nghiệp	NGI IÊN_1 PC_1 |
thương	THI ƯƠN_0 NGC_0 |
mạnh	MI AN1_1 NGC_1 |
phong	PHI ON1_0 NGC_0 |
an	AN2_0 NC_0 |
ăn	AN3_0 NC_0 |
đấy	DI ÂN_5 YC_5 |
đâu	DI ÂN_0 UC_0 |
ấy	ÂN_5 YC_5 |
minh	MI IN_0 NGC_0 |
sư	SI ƯC_0 |
do	ZI ON2_0 |
nguyên	NGI WO_0 YÊN_0 NC_0 |
cấp	KI ÂN_5 PC_5 |
vương	VI ƯƠN_0 NGC_0 |
pháp	PHI AN2_5 PC_5 |
lời	LI ƠN_4 IC_4 |
kết	KI ÊN_5 TC_5 |
yêu	YÊN_0 UC_0 |
tính	TI IN_5 NGC_5 |
giá	ZI AN2_5 |
tiền	TI IÊN_4 NC_4 |
tiểu	TI IÊN_2 UC_2 |
kia	KI IAN_0 |
môn	MI ÔN_0 NC_0 |
bất	BI ÂN_5 TC_5 |
sáng	SI AN1_5 NGC_5 |
sống	SI ÔN_5 NGC_5 |
sản	SI AN2_2 NC_2 |
quả	KI UÔN_2 |
hôm	HI ÔN_0 MC_0 |
luôn	LI UÔN_0 NC_0 |
chí	CHI IN_5 |
tìm	TI IN_4 MC_4 |
đội	DI ÔN_1 IC_1 |
liền	LI IÊN_4 NC_4 |
tám	TI AN2_5 MC_5 |
thu	THI UN_0 |
nữ	NI ƯC_3 |
phòng	PHI ON1_4 NGC_4 |
khó	KHI ON2_5 |
bắt	BI AN3_5 TC_5 |
giải	ZI AN2_2 IC_2 |
quý	KI UN_5 YC_5 |
ngay	NGI AN3_0 YC_0 |
chút	CHI UN_5 TC_5 |
kỳ	KI IN_4 |
kiếm	KI IÊN_5 MC_5 |
bài	BI AN2_4 IC_4 |
thức	THI ƯN_5 KC_5 |
tốt	TI ÔN_5 TC_5 |
hồ	HI ÔN_4 |
phía	PHI IAN_5 |
bởi	BI ƠN_2 IC_2 |
mấy	MI ÂN_5 YC_5 |
xem	XI EN_0 MC_0 |
tháng	THI AN1_5 NGC_5 |
