,word,freq,lang,code,i_code,o_code,n_code,c_code
0,pê,1275,another, , , , , 
1,pa,900,another, , , , , 
2,pi,760,another, , , , , 
3,pác,559,another, , , , , 
4,pờ,434,another, , , , , 
5,ok,309,another, , , , , 
6,po,283,another, , , , , 
7,asean,264,another, , , , , 
8,game,243,another, , , , , 
9,pu,237,another, , , , , 
10,pin,229,another, , , , , 
11,video,228,another, , , , , 
12,pắc,192,another, , , , , 
13,pô,165,another, , , , , 
14,pun,153,another, , , , , 
15,hecta,147,another, , , , , 
16,park,144,another, , , , , 
17,đắk,139,another, , , , , 
18,f,138,another, , , , , 
19,pót,136,another, , , , , 
20,pơ,127,another, , , , , 
21,facebook,116,another, , , , , 
22,pép,116,another, , , , , 
23,z,115,another, , , , , 
24,camera,107,another, , , , , 
25,pát,105,another, , , , , 
26,clip,104,another, , , , , 
27,covidâm,99,another, , , , , 
28,vectơ,96,another, , , , , 
29,web,94,another, , , , , 
30,shark,90,another, , , , , 
31,covid,88,another, , , , , 
32,vtv,85,another, , , , , 
33,tivi,84,another, , , , , 
34,lắk,83,another, , , , , 
35,pôn,78,another, , , , , 
36,taxi,77,another, , , , , 
37,viettel,77,another, , , , , 
38,iphone,77,another, , , , , 
39,fc,77,another, , , , , 
40,online,74,another, , , , , 
41,vleague,68,another, , , , , 
42,pồ,65,another, , , , , 
43,pây,64,another, , , , , 
44,pe,59,another, , , , , 
45,youtube,57,another, , , , , 
46,cindy,57,another, , , , , 
47,internet,56,another, , , , , 
48,world,56,another, , , , , 
49,team,56,another, , , , , 
50,uhai,56,another, , , , , 
51,robot,54,another, , , , , 
52,website,53,another, , , , , 
53,ah,53,another, , , , , 
54,bphone,53,another, , , , , 
55,google,52,another, , , , , 
56,like,52,another, , , , , 
57,tv,47,another, , , , , 
58,alo,45,another, , , , , 
59,messi,45,another, , , , , 
60,pốt,45,another, , , , , 
61,singapore,44,another, , , , , 
62,show,43,another, , , , , 
63,campuchia,42,another, , , , , 
64,delta,42,another, , , , , 
65,sea,40,another, , , , , 
66,virus,40,another, , , , , 
67,kg,40,another, , , , , 
68,laptop,40,another, , , , , 
69,mv,40,another, , , , , 
70,woa,40,another, , , , , 
71,travel,40,another, , , , , 
72,chelsea,40,another, , , , , 
73,enter,40,another, , , , , 
74,pen,39,another, , , , , 
75,euro,39,another, , , , , 
76,hangseo,39,another, , , , , 
77,comment,38,another, , , , , 
78,games,38,another, , , , , 
79,côhưng,38,another, , , , , 
80,oke,37,another, , , , , 
81,league,37,another, , , , , 
82,wow,35,another, , , , , 
83,umười,35,another, , , , , 
84,marketing,34,another, , , , , 
85,pleiku,34,another, , , , , 
86,fan,34,another, , , , , 
87,ab,34,another, , , , , 
88,covidmười,33,another, , , , , 
89,philip,33,another, , , , , 
90,canxi,32,another, , , , , 
91,anna,31,another, , , , , 
92,malaysia,31,another, , , , , 
93,pừn,30,another, , , , , 
94,chuyen,30,another, , , , , 
95,email,29,another, , , , , 
96,nana,29,another, , , , , 
97,pết,29,another, , , , , 
98,ronaldo,29,another, , , , , 
99,vff,29,another, , , , , 
100,pao,29,another, , , , , 
101,livestream,28,another, , , , , 
102,samsung,28,another, , , , , 
103,album,27,another, , , , , 
104,full,27,another, , , , , 
105,tiêuanh,27,another, , , , , 
106,pro,27,another, , , , , 
107,you,27,another, , , , , 
108,city,27,another, , , , , 
109,shop,27,another, , , , , 
110,paris,26,another, , , , , 
111,wifi,26,another, , , , , 
112,bar,26,another, , , , , 
113,shrek,26,another, , , , , 
114,win,26,another, , , , , 
115,aff,26,another, , , , , 
116,viet,26,another, , , , , 
117,indonesia,26,another, , , , , 
118,vien,26,another, , , , , 
119,biet,26,another, , , , , 
120,zét,26,another, , , , , 
121,ekip,25,another, , , , , 
122,link,25,another, , , , , 
123,italia,25,another, , , , , 
124,test,25,another, , , , , 
125,united,25,another, , , , , 
126,pút,25,another, , , , , 
127,pét,24,another, , , , , 
128,cpu,24,another, , , , , 
129,pích,24,another, , , , , 
130,píc,24,another, , , , , 
131,oxy,23,another, , , , , 
132,sapa,23,another, , , , , 
133,share,23,another, , , , , 
134,apple,23,another, , , , , 
135,phone,23,another, , , , , 
136,póp,23,another, , , , , 
137,hien,23,another, , , , , 
138,dieu,23,another, , , , , 
139,micro,22,another, , , , , 
140,smartphone,22,another, , , , , 
141,arsenal,22,another, , , , , 
142,mol,22,another, , , , , 
143,axit,21,another, , , , , 
144,vtc,21,another, , , , , 
145,vali,21,another, , , , , 
146,vitamin,21,another, , , , , 
147,review,21,another, , , , , 
148,gdp,21,another, , , , , 
149,fifa,21,another, , , , , 
150,juventus,21,another, , , , , 
151,barcelona,21,another, , , , , 
152,alen,21,another, , , , , 
153,pizza,20,another, , , , , 
154,nguyen,20,another, , , , , 
155,max,20,another, , , , , 
156,plus,20,another, , , , , 
157,live,20,another, , , , , 
158,abc,20,another, , , , , 
159,ship,20,another, , , , , 
